user_id,variant,signed_up
86729,Treatment,0
13783,Control,0
37091,Control,0
94964,Treatment,0
66572,Treatment,1
81881,Treatment,0
77611,Treatment,0
34955,Control,0
2524,Control,0
21296,Control,0
39527,Control,0
53414,Treatment,1
27384,Control,1
31465,Control,1
87641,Treatment,0
45465,Control,0
4187,Control,0
50228,Treatment,0
94469,Treatment,1
98367,Treatment,0
81385,Treatment,0
70006,Treatment,0
53495,Treatment,0
22741,Control,0
19931,Control,0
8255,Control,0
37553,Control,0
50978,Treatment,0
5490,Control,0
59404,Treatment,0
44640,Control,0
3494,Control,0
56375,Treatment,1
40451,Control,0
38870,Control,0
17067,Control,0
40567,Control,0
90891,Treatment,0
21104,Control,1
53759,Treatment,0
44275,Control,0
3316,Control,0
74497,Treatment,0
14032,Control,0
89827,Treatment,0
62710,Treatment,0
97442,Treatment,1
7723,Control,0
92258,Treatment,0
85674,Treatment,1
2968,Control,0
94245,Treatment,0
60953,Treatment,0
8355,Control,0
53274,Treatment,1
27341,Control,0
35183,Control,0
76796,Treatment,0
22700,Control,0
49278,Control,0
20849,Control,0
15005,Control,1
51569,Treatment,0
41471,Control,0
85707,Treatment,1
99889,Treatment,0
78707,Treatment,0
86235,Treatment,0
58014,Treatment,0
27065,Control,0
94966,Treatment,0
72523,Treatment,0
59705,Treatment,0
45632,Control,0
97179,Treatment,1
8485,Control,0
10034,Control,1
61487,Treatment,0
35304,Control,0
91063,Treatment,0
63509,Treatment,0
86388,Treatment,0
13227,Control,1
14783,Control,0
37740,Control,0
74185,Treatment,0
94151,Treatment,0
30823,Control,0
42574,Control,0
59710,Treatment,0
43408,Control,0
62395,Treatment,1
94590,Treatment,0
12576,Control,0
14963,Control,1
31332,Control,0
94372,Treatment,1
82708,Treatment,0
26283,Control,1
5398,Control,0
47975,Control,0
37093,Control,0
67260,Treatment,0
79047,Treatment,0
41178,Control,0
78054,Treatment,0
94811,Treatment,0
44282,Control,1
69613,Treatment,0
68801,Treatment,0
93753,Treatment,0
3283,Control,0
42104,Control,0
65707,Treatment,0
90925,Treatment,0
70999,Treatment,0
93585,Treatment,0
25396,Control,0
14761,Control,0
94149,Treatment,0
86304,Treatment,1
88267,Treatment,0
33528,Control,0
29645,Control,0
83028,Treatment,0
74598,Treatment,0
73117,Treatment,1
48028,Control,1
69825,Treatment,1
51395,Treatment,0
6458,Control,1
70106,Treatment,0
30491,Control,0
27527,Control,0
99433,Treatment,0
48930,Control,0
8491,Control,0
92016,Treatment,0
17334,Control,0
75725,Treatment,1
53206,Treatment,0
87028,Treatment,0
91888,Treatment,0
60770,Treatment,0
52255,Treatment,1
50056,Treatment,0
40640,Control,0
40454,Control,0
10447,Control,1
77691,Treatment,0
42523,Control,0
70213,Treatment,0
10963,Control,0
61982,Treatment,1
96764,Treatment,0
89152,Treatment,0
96454,Treatment,1
7442,Control,0
96251,Treatment,0
33658,Control,0
69934,Treatment,0
64326,Treatment,0
30462,Control,0
80411,Treatment,1
32925,Control,0
568,Control,0
46779,Control,0
91765,Treatment,0
18418,Control,0
26019,Control,0
80172,Treatment,0
16247,Control,0
22275,Control,0
80391,Treatment,0
47333,Control,0
29458,Control,0
723,Control,0
78325,Treatment,0
61061,Treatment,0
88577,Treatment,0
34863,Control,0
93496,Treatment,1
70464,Treatment,0
92840,Treatment,0
34858,Control,0
78519,Treatment,1
8347,Control,0
83376,Treatment,1
95066,Treatment,0
12717,Control,0
3642,Control,0
46139,Control,0
71487,Treatment,0
89318,Treatment,0
72769,Treatment,0
66025,Treatment,0
29920,Control,0
48873,Control,0
41594,Control,0
86622,Treatment,0
92146,Treatment,0
42767,Control,0
66902,Treatment,1
1427,Control,0
78860,Treatment,0
86850,Treatment,1
82998,Treatment,1
24500,Control,0
92448,Treatment,0
43253,Control,1
15036,Control,0
48522,Control,0
91489,Treatment,1
82275,Treatment,0
7747,Control,0
38123,Control,0
40918,Control,1
27036,Control,1
60779,Treatment,0
92747,Treatment,0
43052,Control,0
39341,Control,0
59976,Treatment,0
52156,Treatment,0
52561,Treatment,0
45459,Control,0
50998,Treatment,1
32130,Control,0
94825,Treatment,0
3502,Control,0
30015,Control,1
59903,Treatment,1
20790,Control,0
99776,Treatment,0
97418,Treatment,0
74515,Treatment,0
46651,Control,1
99096,Treatment,0
79336,Treatment,0
99736,Treatment,0
95884,Treatment,1
91301,Treatment,0
19706,Control,0
1225,Control,0
86931,Treatment,0
34004,Control,0
75351,Treatment,0
76722,Treatment,0
29438,Control,0
60842,Treatment,1
1001,Control,0
69990,Treatment,0
61639,Treatment,1
88048,Treatment,1
61355,Treatment,0
44143,Control,0
72115,Treatment,1
32153,Control,0
89786,Treatment,0
4095,Control,0
74291,Treatment,0
95032,Treatment,0
9763,Control,0
61826,Treatment,1
26552,Control,0
76749,Treatment,1
95080,Treatment,0
11461,Control,0
52616,Treatment,0
86373,Treatment,1
17223,Control,0
46872,Control,0
42478,Control,0
8613,Control,0
44758,Control,0
6277,Control,0
10263,Control,0
66860,Treatment,0
24567,Control,0
63798,Treatment,1
14498,Control,0
94718,Treatment,1
75867,Treatment,0
44461,Control,0
95408,Treatment,0
5601,Control,0
21196,Control,1
99156,Treatment,0
75535,Treatment,0
91182,Treatment,0
79834,Treatment,0
89757,Treatment,0
14539,Control,0
63980,Treatment,0
48850,Control,1
42884,Control,0
74454,Treatment,0
42658,Control,1
61948,Treatment,1
94134,Treatment,0
7145,Control,0
22990,Control,0
31932,Control,0
47775,Control,0
35006,Control,0
78062,Treatment,0
5299,Control,0
18852,Control,1
37767,Control,1
21347,Control,0
16499,Control,0
30757,Control,0
54217,Treatment,0
798,Control,0
55054,Treatment,1
7691,Control,0
80142,Treatment,1
85249,Treatment,0
15610,Control,0
276,Control,0
58789,Treatment,0
42441,Control,1
96870,Treatment,0
10916,Control,1
51725,Treatment,0
6659,Control,1
50412,Treatment,1
79451,Treatment,0
80098,Treatment,0
86547,Treatment,1
46569,Control,0
63313,Treatment,0
58259,Treatment,0
87479,Treatment,0
13848,Control,1
577,Control,0
24327,Control,0
45771,Control,0
81128,Treatment,0
71999,Treatment,0
46875,Control,0
31714,Control,1
14901,Control,1
4483,Control,0
72681,Treatment,0
47825,Control,0
11173,Control,1
42743,Control,0
11657,Control,0
78567,Treatment,0
93188,Treatment,0
74081,Treatment,0
88664,Treatment,0
33292,Control,0
18764,Control,0
10750,Control,0
5481,Control,0
87869,Treatment,1
54609,Treatment,0
93996,Treatment,1
21087,Control,0
53257,Treatment,1
46570,Control,1
98348,Treatment,0
50300,Treatment,0
58538,Treatment,0
57237,Treatment,0
74696,Treatment,0
71679,Treatment,0
81532,Treatment,0
18290,Control,0
13024,Control,0
26345,Control,0
7779,Control,0
56990,Treatment,1
87549,Treatment,0
27718,Control,0
82573,Treatment,0
58404,Treatment,0
88329,Treatment,0
88942,Treatment,0
53842,Treatment,1
40540,Control,0
43652,Control,0
90674,Treatment,0
46025,Control,0
62244,Treatment,0
5880,Control,0
69301,Treatment,0
24668,Control,0
82603,Treatment,0
1945,Control,0
13650,Control,1
6615,Control,0
59070,Treatment,0
47608,Control,0
58201,Treatment,0
94026,Treatment,0
87219,Treatment,1
95394,Treatment,0
23336,Control,1
82629,Treatment,0
43046,Control,0
91212,Treatment,0
24941,Control,0
75716,Treatment,0
14719,Control,0
24635,Control,0
58713,Treatment,0
47194,Control,0
57044,Treatment,1
48677,Control,0
23583,Control,1
56598,Treatment,0
93627,Treatment,0
42328,Control,0
70660,Treatment,0
86035,Treatment,0
36314,Control,0
90870,Treatment,1
88342,Treatment,0
91275,Treatment,0
53767,Treatment,0
31855,Control,0
82300,Treatment,0
1640,Control,0
59512,Treatment,0
49648,Control,0
32445,Control,0
55796,Treatment,0
71098,Treatment,0
79987,Treatment,0
79232,Treatment,0
42239,Control,0
54947,Treatment,1
67449,Treatment,0
77786,Treatment,0
50263,Treatment,0
22332,Control,0
14994,Control,0
29833,Control,0
85651,Treatment,0
24035,Control,0
57164,Treatment,0
68027,Treatment,0
25043,Control,0
53185,Treatment,1
4516,Control,0
95479,Treatment,0
49954,Control,0
12208,Control,0
59720,Treatment,0
70577,Treatment,0
65001,Treatment,0
75075,Treatment,0
29218,Control,1
37217,Control,0
86308,Treatment,0
90298,Treatment,0
80841,Treatment,0
74807,Treatment,1
12848,Control,0
11797,Control,1
71856,Treatment,0
1739,Control,0
29290,Control,0
95743,Treatment,0
6864,Control,0
82292,Treatment,0
65801,Treatment,0
78436,Treatment,0
58671,Treatment,0
47746,Control,0
30292,Control,0
52631,Treatment,0
84114,Treatment,0
38851,Control,0
76401,Treatment,0
94117,Treatment,1
79449,Treatment,0
78715,Treatment,0
98462,Treatment,0
42282,Control,0
43011,Control,0
47793,Control,0
34412,Control,0
55804,Treatment,1
54648,Treatment,0
31316,Control,0
21288,Control,0
96221,Treatment,0
37048,Control,0
64029,Treatment,1
13128,Control,0
78397,Treatment,1
44120,Control,0
28573,Control,0
65639,Treatment,0
7149,Control,0
62401,Treatment,0
58263,Treatment,0
92435,Treatment,1
91784,Treatment,0
13236,Control,0
81438,Treatment,1
91868,Treatment,0
18037,Control,0
26432,Control,0
57367,Treatment,0
17577,Control,0
25030,Control,1
13064,Control,0
69518,Treatment,0
63185,Treatment,0
39924,Control,1
99933,Treatment,0
44872,Control,0
51727,Treatment,0
21130,Control,1
77167,Treatment,0
91466,Treatment,0
24343,Control,0
35563,Control,0
58294,Treatment,0
85649,Treatment,0
40737,Control,0
83271,Treatment,0
60701,Treatment,0
6075,Control,0
97000,Treatment,1
48632,Control,0
51521,Treatment,0
47458,Control,0
94441,Treatment,0
84268,Treatment,0
72573,Treatment,1
76278,Treatment,1
67009,Treatment,0
80262,Treatment,0
49788,Control,0
26763,Control,1
14231,Control,0
65779,Treatment,0
87718,Treatment,0
79703,Treatment,0
69102,Treatment,0
82400,Treatment,0
21414,Control,0
40622,Control,0
57991,Treatment,0
57414,Treatment,0
64804,Treatment,0
69784,Treatment,0
2867,Control,1
17678,Control,0
45874,Control,1
90023,Treatment,0
67226,Treatment,0
28394,Control,1
14334,Control,0
30550,Control,0
19785,Control,0
82940,Treatment,0
80558,Treatment,1
65175,Treatment,0
28717,Control,0
96200,Treatment,0
79755,Treatment,0
30804,Control,0
92144,Treatment,1
75277,Treatment,1
85732,Treatment,0
3498,Control,0
36627,Control,0
59969,Treatment,0
32156,Control,1
91155,Treatment,0
66723,Treatment,0
76640,Treatment,0
55901,Treatment,1
18189,Control,0
96591,Treatment,0
40439,Control,0
59653,Treatment,0
6917,Control,0
23546,Control,1
58426,Treatment,1
55185,Treatment,0
48953,Control,1
45868,Control,0
25736,Control,1
10172,Control,0
95968,Treatment,1
45972,Control,0
41836,Control,0
16622,Control,0
16781,Control,0
45768,Control,0
99726,Treatment,0
70846,Treatment,1
98235,Treatment,1
33489,Control,0
74523,Treatment,0
69594,Treatment,0
23666,Control,0
15292,Control,0
39529,Control,0
65221,Treatment,0
57716,Treatment,0
30102,Control,0
85336,Treatment,0
74763,Treatment,0
41627,Control,0
33966,Control,0
53862,Treatment,0
16490,Control,0
89186,Treatment,0
42752,Control,0
48067,Control,0
30845,Control,1
75074,Treatment,1
74392,Treatment,0
87735,Treatment,0
98675,Treatment,0
12672,Control,1
31813,Control,0
66807,Treatment,0
31468,Control,0
26444,Control,0
72079,Treatment,0
99632,Treatment,0
51097,Treatment,1
76808,Treatment,1
93170,Treatment,0
80179,Treatment,0
33497,Control,0
5553,Control,1
50306,Treatment,0
24301,Control,1
29526,Control,0
18580,Control,0
736,Control,0
44081,Control,1
53195,Treatment,0
28825,Control,0
43434,Control,1
87307,Treatment,0
8985,Control,1
89578,Treatment,0
47892,Control,0
16583,Control,0
48165,Control,1
1946,Control,1
48714,Control,0
80316,Treatment,0
6607,Control,0
57728,Treatment,0
46148,Control,0
83577,Treatment,0
2545,Control,0
64671,Treatment,0
90408,Treatment,1
66922,Treatment,0
42951,Control,0
83459,Treatment,0
67180,Treatment,0
21868,Control,0
4960,Control,0
33638,Control,0
15315,Control,0
79211,Treatment,0
45198,Control,0
81017,Treatment,0
36747,Control,1
65757,Treatment,0
84264,Treatment,0
68921,Treatment,0
7087,Control,0
19289,Control,1
65023,Treatment,0
12364,Control,1
10925,Control,0
25740,Control,0
64148,Treatment,0
34627,Control,1
74627,Treatment,0
3559,Control,0
6575,Control,0
61099,Treatment,0
21975,Control,0
64387,Treatment,1
39717,Control,0
22619,Control,0
19015,Control,0
35427,Control,0
19304,Control,0
11060,Control,0
95082,Treatment,0
34607,Control,1
12411,Control,0
97071,Treatment,1
1969,Control,0
8235,Control,0
76564,Treatment,1
43825,Control,0
40458,Control,0
63968,Treatment,0
57302,Treatment,0
81812,Treatment,1
39465,Control,0
60252,Treatment,0
79491,Treatment,0
23553,Control,0
28956,Control,0
80947,Treatment,1
46154,Control,0
62711,Treatment,0
81754,Treatment,0
9728,Control,0
89528,Treatment,0
58575,Treatment,0
78340,Treatment,0
44433,Control,0
73541,Treatment,0
74493,Treatment,0
92047,Treatment,0
80805,Treatment,0
41335,Control,0
3075,Control,0
1783,Control,1
67130,Treatment,1
76662,Treatment,1
33454,Control,0
3117,Control,1
60888,Treatment,0
40160,Control,0
32031,Control,0
60167,Treatment,1
43182,Control,0
17469,Control,0
29594,Control,0
40852,Control,0
66951,Treatment,0
84434,Treatment,0
73588,Treatment,0
76959,Treatment,0
38779,Control,0
32579,Control,0
54272,Treatment,0
64703,Treatment,1
41223,Control,0
59249,Treatment,0
4501,Control,0
12467,Control,0
10516,Control,1
32272,Control,0
1077,Control,1
59712,Treatment,0
38246,Control,0
84730,Treatment,0
27821,Control,0
3873,Control,0
94719,Treatment,0
39609,Control,0
13707,Control,0
6546,Control,1
85758,Treatment,0
18262,Control,0
77006,Treatment,0
58682,Treatment,0
16378,Control,0
60890,Treatment,0
47410,Control,1
22520,Control,0
68403,Treatment,0
53489,Treatment,0
12948,Control,1
52588,Treatment,0
33451,Control,0
91876,Treatment,0
20725,Control,0
81662,Treatment,0
70143,Treatment,0
76744,Treatment,0
91146,Treatment,0
41677,Control,0
95949,Treatment,0
55147,Treatment,0
58381,Treatment,1
36094,Control,0
86637,Treatment,1
90695,Treatment,0
25778,Control,0
42332,Control,0
7780,Control,0
27543,Control,0
28361,Control,0
72389,Treatment,0
6605,Control,1
28517,Control,0
60984,Treatment,0
20520,Control,0
48667,Control,0
44528,Control,1
5890,Control,0
68800,Treatment,0
1984,Control,0
85662,Treatment,0
57997,Treatment,0
35490,Control,0
93688,Treatment,0
58163,Treatment,0
87866,Treatment,0
26681,Control,0
35717,Control,1
24196,Control,1
70122,Treatment,0
44846,Control,0
3442,Control,1
17436,Control,0
79239,Treatment,0
48531,Control,0
76614,Treatment,0
9080,Control,0
3214,Control,0
66847,Treatment,1
25355,Control,0
39835,Control,0
82080,Treatment,0
37097,Control,0
85403,Treatment,1
37261,Control,0
15270,Control,0
53642,Treatment,0
54337,Treatment,0
14672,Control,0
93218,Treatment,0
57333,Treatment,1
38043,Control,0
61522,Treatment,1
62720,Treatment,0
50403,Treatment,0
36468,Control,1
95656,Treatment,0
6836,Control,0
91295,Treatment,1
84573,Treatment,1
42318,Control,1
89672,Treatment,0
48945,Control,1
88583,Treatment,0
23289,Control,0
75856,Treatment,0
58630,Treatment,1
31133,Control,0
30822,Control,0
7422,Control,0
84619,Treatment,0
45146,Control,0
4131,Control,0
52415,Treatment,0
36466,Control,0
96719,Treatment,0
81430,Treatment,0
17393,Control,0
80596,Treatment,0
67282,Treatment,0
24518,Control,0
47632,Control,0
80197,Treatment,0
5428,Control,0
62890,Treatment,1
44436,Control,0
38149,Control,0
93463,Treatment,0
84260,Treatment,0
7166,Control,0
7040,Control,0
50350,Treatment,0
1268,Control,0
39399,Control,1
89586,Treatment,0
45110,Control,1
3419,Control,0
68537,Treatment,1
66855,Treatment,0
61086,Treatment,0
8238,Control,0
21859,Control,0
71865,Treatment,0
37710,Control,1
57169,Treatment,0
28015,Control,0
27498,Control,0
76724,Treatment,1
37416,Control,1
33542,Control,0
45055,Control,0
60708,Treatment,0
19629,Control,0
30393,Control,0
36815,Control,0
2176,Control,0
96795,Treatment,1
44973,Control,0
36383,Control,0
79081,Treatment,0
52819,Treatment,0
51888,Treatment,0
15592,Control,1
14368,Control,1
57742,Treatment,0
49705,Control,0
4930,Control,0
96860,Treatment,0
75363,Treatment,0
34420,Control,0
61678,Treatment,0
27002,Control,1
19319,Control,0
56912,Treatment,0
88873,Treatment,0
8778,Control,0
97665,Treatment,0
29219,Control,0
88694,Treatment,0
22508,Control,1
42225,Control,0
94617,Treatment,1
23529,Control,0
57824,Treatment,0
79356,Treatment,1
30563,Control,0
45210,Control,1
95748,Treatment,0
11934,Control,0
61416,Treatment,1
21376,Control,0
88250,Treatment,0
9927,Control,0
65905,Treatment,0
13486,Control,0
40318,Control,0
25050,Control,0
89732,Treatment,0
70140,Treatment,1
63795,Treatment,0
56127,Treatment,0
21766,Control,0
87103,Treatment,0
84911,Treatment,0
13853,Control,0
54284,Treatment,0
92749,Treatment,1
86361,Treatment,0
89471,Treatment,0
73771,Treatment,0
17001,Control,0
82245,Treatment,0
60326,Treatment,0
73640,Treatment,0
14907,Control,0
23918,Control,0
8343,Control,0
93014,Treatment,0
77065,Treatment,1
77924,Treatment,1
9835,Control,1
75865,Treatment,0
24370,Control,0
20924,Control,1
71921,Treatment,0
69124,Treatment,0
87804,Treatment,1
76710,Treatment,0
19353,Control,0
3085,Control,0
7404,Control,0
71317,Treatment,0
5685,Control,0
28100,Control,0
11951,Control,1
26137,Control,0
28085,Control,0
77506,Treatment,0
42712,Control,1
17918,Control,1
11750,Control,0
2686,Control,1
52484,Treatment,0
97134,Treatment,0
66973,Treatment,0
84772,Treatment,0
80866,Treatment,0
68072,Treatment,0
63612,Treatment,0
36489,Control,0
6089,Control,0
86234,Treatment,0
69875,Treatment,0
3215,Control,0
45170,Control,0
67378,Treatment,0
90566,Treatment,1
74094,Treatment,1
98267,Treatment,0
57844,Treatment,1
2808,Control,0
57109,Treatment,0
26379,Control,0
52287,Treatment,0
70615,Treatment,0
34699,Control,0
39915,Control,0
201,Control,0
11669,Control,0
98220,Treatment,0
60196,Treatment,0
65274,Treatment,0
77127,Treatment,0
67410,Treatment,0
72527,Treatment,0
30965,Control,0
1322,Control,0
51120,Treatment,0
32581,Control,0
71532,Treatment,0
16937,Control,0
99883,Treatment,0
40188,Control,0
39962,Control,0
86404,Treatment,0
60194,Treatment,0
36763,Control,0
88317,Treatment,0
44550,Control,0
14367,Control,0
57199,Treatment,0
80439,Treatment,1
14255,Control,0
89412,Treatment,0
6500,Control,1
22274,Control,0
39417,Control,0
1301,Control,1
84064,Treatment,0
47729,Control,1
17888,Control,1
36829,Control,1
28404,Control,0
63074,Treatment,1
70501,Treatment,0
58117,Treatment,0
73158,Treatment,0
10551,Control,0
83207,Treatment,0
40512,Control,1
25183,Control,0
95147,Treatment,0
4360,Control,0
51147,Treatment,0
1944,Control,0
16178,Control,0
40178,Control,0
15751,Control,0
12416,Control,0
25150,Control,0
82496,Treatment,0
1632,Control,0
51107,Treatment,0
5537,Control,1
55868,Treatment,0
20590,Control,1
64892,Treatment,1
45857,Control,0
93802,Treatment,0
73809,Treatment,0
64952,Treatment,0
5471,Control,0
86065,Treatment,0
17138,Control,1
99491,Treatment,0
53995,Treatment,0
75153,Treatment,0
27237,Control,1
9796,Control,1
69867,Treatment,0
74920,Treatment,0
40181,Control,0
690,Control,0
82223,Treatment,0
48824,Control,0
95015,Treatment,0
14450,Control,0
56411,Treatment,1
86788,Treatment,0
63779,Treatment,0
7503,Control,0
81241,Treatment,0
40329,Control,0
61722,Treatment,1
34353,Control,0
79780,Treatment,0
4432,Control,0
1543,Control,0
19585,Control,1
70305,Treatment,0
38788,Control,0
10686,Control,0
14932,Control,0
73711,Treatment,1
67256,Treatment,0
51979,Treatment,0
76037,Treatment,0
25553,Control,1
60649,Treatment,1
81274,Treatment,0
66186,Treatment,1
46760,Control,0
16008,Control,0
75851,Treatment,0
81702,Treatment,0
50848,Treatment,0
39077,Control,0
39455,Control,0
87320,Treatment,1
25947,Control,0
27280,Control,0
63010,Treatment,1
34028,Control,1
93858,Treatment,0
50085,Treatment,0
50718,Treatment,1
64421,Treatment,0
96201,Treatment,0
39396,Control,0
12175,Control,0
78457,Treatment,0
872,Control,0
8057,Control,0
82321,Treatment,0
25907,Control,0
26598,Control,0
58029,Treatment,0
17527,Control,1
79681,Treatment,0
67144,Treatment,0
61836,Treatment,0
71769,Treatment,0
36918,Control,1
24629,Control,0
36967,Control,1
6801,Control,0
35029,Control,0
74638,Treatment,0
64406,Treatment,0
70762,Treatment,0
80280,Treatment,0
75729,Treatment,0
96369,Treatment,0
5763,Control,0
33798,Control,0
51232,Treatment,0
13960,Control,0
80392,Treatment,0
42790,Control,1
46345,Control,0
60078,Treatment,0
36186,Control,0
38329,Control,0
42876,Control,0
39543,Control,0
84561,Treatment,1
6435,Control,0
8961,Control,1
38656,Control,0
44660,Control,0
89204,Treatment,1
48835,Control,0
69196,Treatment,0
28891,Control,0
74595,Treatment,0
17097,Control,0
72443,Treatment,0
88196,Treatment,1
67944,Treatment,0
50371,Treatment,0
87275,Treatment,0
65956,Treatment,1
71896,Treatment,1
83161,Treatment,0
12567,Control,1
45788,Control,1
81459,Treatment,0
30600,Control,0
47183,Control,0
40459,Control,0
42021,Control,0
32113,Control,0
72701,Treatment,0
49336,Control,0
94343,Treatment,0
84298,Treatment,1
63478,Treatment,0
50452,Treatment,0
45748,Control,0
12043,Control,0
40186,Control,0
56953,Treatment,0
84174,Treatment,0
71369,Treatment,0
60352,Treatment,1
13279,Control,0
24747,Control,0
48440,Control,0
374,Control,0
30379,Control,0
42466,Control,0
40762,Control,0
15569,Control,0
54457,Treatment,0
